,ESCS,MATH,predict
476949,0.72,499.46254,500.076100924
478539,0.8,565.82802,502.739112335
478434,-0.34,481.54698,464.791199728
476939,1.17,443.9243,515.055540111
480136,1.37,552.43026,521.713068639
476714,1.34,620.27574,520.71443936
480437,-0.62,429.35816,455.470659789
479537,1.41,466.43558,523.044574344
480143,0.84,495.25628,504.070618041
477434,0.33,563.02384,487.093920295
475861,1.24,523.53172,517.385675096
480323,-0.73,452.4147,451.809019099
475668,2.34,443.6906,554.002081997
480066,-0.05,375.1441,474.444616093
476555,1.06,527.1927,511.393899421
477665,-0.62,449.29894,455.470659789
476158,-0.46,489.72582,460.796682611
478769,0.35,501.1762,487.759673148
476082,0.8,499.7741,502.739112335
476094,0.56,421.02352,494.750078102
478071,1.14,559.75232,514.056910832
478172,-0.29,480.76806,466.45558186
480470,-0.31,485.28588,465.789829007
478521,0.65,521.03912,497.745965939
476458,0.75,545.26406,501.074730203
475835,-2.09,404.04268,406.537825112
477910,0.9,515.19708,506.067876599
477864,0.94,609.91588,507.399382304
479850,1.11,588.41718,513.058281553
477028,1.12,455.84206,513.391157979
480039,0.42,392.82596,490.089808133
479459,-0.39,515.82022,463.126817596
478427,-0.03,455.14098,475.110368946
480314,0.62,491.82894,496.74733666
476242,-0.7,521.66226,452.807648378
478647,1.14,529.14006,514.056910832
479576,-3.66,403.18586,354.27622617
479171,1.64,380.2851,530.700732151
476465,0.32,544.95248,486.761043869
480048,-0.36,396.09752,464.125446875
480366,1.3,630.32406,519.382933654
478401,0.51,655.09426,493.08569597
480077,2.09,444.23586,545.680171338
475961,0.11,491.98474,479.770638915
476517,-0.69,565.82802,453.140524805
479142,1.02,337.6772,510.062393715
478824,-1.38,513.95076,430.172051385
477736,1.89,644.5007,539.02264281
476147,0.82,456.3094,503.404865188
476870,0.53,428.8908,493.751448823
477961,-0.68,389.0871,453.473401231
476266,-0.94,380.51878,444.818614145
475580,-0.57,412.61098,457.135041921
476797,-1.14,431.46128,438.161085618
479865,0.72,524.23274,500.076100924
478776,-0.8,496.5026,449.478884115
480378,0.65,592.62344,497.745965939
476563,0.75,505.38246,501.074730203
475714,0.08,370.93786,478.772009636
479924,-1.17,457.71146,437.162456338
476112,-1.44,458.64622,428.174792826
478490,0.22,363.7716,483.432279605
477952,-1.57,359.64324,423.847399283
475967,-0.61,615.05686,455.803536216
476723,0.51,574.31842,493.08569597
478022,0.28,547.1335,485.429538163
476637,0.8,508.42034,502.739112335
476152,-1.03,527.3485,441.822726308
477544,-1.17,399.52486,437.162456338
478023,-1.11,454.28416,439.159714897
478455,-0.07,489.02476,473.77886324
475964,0.02,441.4317,476.774751078
479883,1.82,634.3745,536.692507826
478604,0.04,433.7981,477.44050393
476868,-0.83,482.32592,448.480254835
476388,-0.41,392.04706,462.461064743
477453,0.67,338.68984,498.411718792
477875,-0.33,438.7833,465.124076154
476044,-1.81,369.69156,415.85836505
479219,0.69,496.58046,499.077471645
476816,0.13,485.90902,480.436391768
478598,1.21,551.33976,516.387045817
475627,1.82,478.11964,536.692507826
480439,-0.11,501.79934,472.447357535
477989,-1.48,406.61318,426.843287121
477579,-0.46,337.98878,460.796682611
476211,-0.22,524.23274,468.785716844
477343,1.12,673.94456,513.391157979
477421,0.08,444.15796,478.772009636
479288,-0.11,435.74546,472.447357535
477833,0.93,551.18396,507.066505878
477568,-0.3,525.47906,466.122705433
476693,1.23,511.2245,517.052798669
477221,-0.69,507.0961,453.140524805
476610,0.56,503.12356,494.750078102
479078,-1.07,314.54278,440.491220602
477761,0.93,530.23058,507.066505878
477321,-0.26,536.2284,467.454211139
475620,0.91,580.47202,506.400753025
477424,0.98,625.26094,508.73088801
480457,1.26,702.37576,518.051427949
